Delta,Theta,Low-Alpha,High-Alpha,Low-Beta,High-Beta,Low-Gamma,Mid-Gamma,Classe
524,504,357,75,469,481,259,254,1
355,154,445,538,416,221,351,218,1
732,494,729,228,341,273,282,102,1
472,351,282,545,466,284,272,183,1
355,776,181,368,281,195,85,127,1
121,256,374,505,298,191,334,240,1
641,414,476,378,410,409,230,116,1
132,545,296,456,340,194,387,50,1
276,501,534,325,195,391,286,252,1
180,1585,966,1767,379,315,381,307,1
1231,543,259,364,263,553,333,100,1
570,659,266,490,209,160,142,209,1
2566,596,263,224,235,78,150,63,1
346,529,120,103,150,240,73,329,1
679,519,62,326,321,285,180,127,1
395,110,238,281,185,361,194,273,1
322,649,386,285,253,176,208,64,1
324,437,337,112,218,429,407,168,1
356,334,245,736,265,102,287,140,1
386,250,230,262,251,359,212,158,1
389,394,225,66,740,133,222,50,1
392,337,233,297,403,73,384,247,1
1066,694,526,664,374,343,154,238,1
229,429,171,454,153,368,318,204,1
1397,299,208,162,102,47,217,230,1
329,415,243,153,393,317,260,123,1
341,320,251,237,307,231,155,230,1
245,299,629,595,480,370,266,256,1
653,625,373,795,306,163,367,116,1
418,615,140,295,167,231,191,334,1
233,261,332,227,303,291,272,201,1
438,537,295,1115,554,275,251,287,1
2440,696,503,285,221,169,150,112,1
592,292,239,350,311,414,174,46,1
207,279,432,246,407,119,452,177,1
661,432,175,96,209,197,245,84,1
402,189,117,364,395,205,292,256,1
179,824,155,423,272,148,85,233,1
326,547,245,239,176,224,177,287,1
202,256,254,166,213,286,90,260,1
818,1296,473,152,144,245,232,212,1
286,907,288,620,108,200,207,255,1
443,454,385,621,359,129,211,213,1
348,429,192,171,400,240,490,90,1
245,531,418,352,213,332,237,156,1
346,294,153,331,189,282,392,133,1
139,328,339,268,373,360,200,320,1
722,509,346,426,199,417,390,240,1
325,445,280,113,301,427,352,199,1
278,532,224,269,302,185,152,101,1
492,298,237,196,201,177,216,318,1
447,522,621,459,161,458,262,212,1
231,266,170,239,268,274,204,203,1
316,343,248,72,440,289,139,159,1
191,540,267,418,424,238,81,65,1
624,307,268,359,208,305,122,188,1
389,451,116,933,398,167,255,225,1
547,314,684,60,236,157,252,272,1
324,376,119,286,458,193,289,244,1
357,453,293,145,152,291,98,291,1
449,216,186,440,327,317,134,289,1
405,401,284,61,200,298,321,134,1
521,184,489,128,178,178,343,249,1
467,645,615,422,236,397,394,264,1
873,628,378,545,366,321,261,216,1
718,615,87,111,147,165,276,238,1
335,522,145,218,156,382,260,167,1
527,545,250,215,432,361,342,105,1
942,329,275,679,180,284,165,162,1
1203,1316,681,753,259,267,425,169,1
2206,1472,789,617,501,199,354,129,1
723,328,409,617,501,507,425,119,1
152,726,624,385,487,428,333,187,1
437,748,239,305,237,362,358,339,1
319,234,756,730,351,322,144,172,1
653,535,301,227,77,215,145,195,1
1065,300,105,93,197,164,68,11,1
186,396,436,303,150,451,284,435,1
315,389,554,513,436,189,120,266,1
203,574,276,693,401,304,210,284,1
2591,1936,701,257,278,427,442,113,1
281,592,140,283,374,115,309,263,1
403,710,246,820,641,991,1968,334,0
164,818,635,480,743,877,1293,357,0
1409,995,423,1036,326,501,291,347,0
337,225,457,191,263,509,413,377,0
793,384,252,775,424,271,244,441,0
743,465,465,629,475,1189,1042,357,0
244,176,191,224,276,469,458,228,0
466,710,161,416,280,351,227,389,0
845,317,151,406,400,378,453,351,0
341,386,331,565,450,440,718,369,0
708,924,385,173,304,681,207,301,0
341,334,171,773,475,340,163,506,0
420,602,409,230,377,490,372,261,0
214,508,133,228,685,335,413,417,0
95,747,586,508,326,718,278,211,0
570,340,438,273,620,427,284,466,0
952,385,283,495,907,577,679,180,0
375,441,379,808,605,387,239,423,0
911,373,194,314,451,694,248,388,0
889,460,362,993,379,341,382,368,0
245,367,842,152,346,233,348,369,0
1697,424,395,118,446,532,496,359,0
192,456,319,189,616,517,256,202,0
618,552,196,500,431,654,463,605,0
448,598,315,369,301,415,398,243,0
365,303,415,283,511,360,314,284,0
751,415,500,323,196,321,417,214,0
490,417,232,349,330,386,312,203,0
432,579,146,285,385,266,356,241,0
412,425,204,217,628,310,498,133,0
491,309,690,353,194,403,364,359,0
271,746,463,516,265,595,458,233,0
970,247,261,294,384,282,500,264,0
292,305,504,156,363,592,219,381,0
377,857,346,337,332,248,479,203,0
621,362,215,329,340,708,388,145,0
302,306,242,431,228,686,311,320,0
250,725,695,373,392,583,327,417,0
501,603,255,124,202,630,574,391,0
293,339,575,438,610,182,276,351,0
484,649,442,530,188,162,310,221,0
255,291,648,150,584,797,220,454,0
723,445,108,177,492,573,190,207,0
430,399,361,254,223,430,563,275,0
356,421,448,506,523,375,317,326,0
530,529,137,288,523,571,253,273,0
158,475,301,168,486,350,486,183,0
196,740,251,503,489,820,169,291,0
278,456,186,245,1002,544,506,134,0
698,342,321,280,373,477,334,183,0
444,355,100,218,369,349,379,355,0
240,239,567,1146,310,433,360,329,0
250,300,294,829,736,523,201,474,0
348,350,327,310,352,160,478,281,0
208,650,621,258,585,407,415,146,0
76,436,192,256,192,242,369,403,0
513,303,224,312,320,498,214,254,0
122,351,608,166,916,542,486,171,0
436,356,236,573,771,562,442,368,0
485,398,201,280,301,477,188,259,0
525,741,250,590,815,249,379,160,0
448,639,407,228,811,659,380,155,0
1037,666,274,324,310,381,469,198,0
161,442,666,310,503,394,171,217,0
575,535,375,69,671,309,623,311,0
1208,308,155,249,326,202,312,110,0
265,472,615,296,576,748,392,354,0
501,436,398,248,334,736,384,272,0
388,413,126,299,651,844,337,208,0
808,442,413,71,440,669,458,212,0
486,837,365,449,377,535,232,252,0
421,532,421,411,348,229,484,326,0
291,643,514,142,647,550,255,281,0
122,361,280,203,384,352,390,155,0
823,827,447,951,574,670,337,398,0
345,335,203,519,1202,640,354,128,0
351,735,652,415,632,666,384,217,0
177,409,223,324,351,347,321,352,0
267,521,649,391,436,296,270,192,0
205,335,307,430,983,201,264,166,0
711,584,791,315,538,467,441,320,0
386,298,801,352,323,687,228,239,0
997,417,148,600,845,610,396,138,0
396,509,638,820,208,422,346,423,0
398,868,914,829,485,416,287,338,0
702,1213,240,706,281,326,350,160,2
1093,1753,450,119,778,486,384,249,2
275,374,682,494,636,134,586,232,2
821,1161,415,200,253,228,524,347,2
979,2058,1251,188,549,331,233,195,2
2126,686,1612,309,1587,1064,588,412,2
850,1559,779,501,995,663,535,1277,2
498,2007,234,388,184,365,360,226,2
3686,2004,629,1601,1334,776,333,587,2
2643,1881,1262,336,970,1070,229,270,2
2595,705,307,195,151,241,207,123,2
2379,610,1102,694,423,450,336,342,2
828,748,440,384,373,351,231,78,2
866,2436,1195,1376,509,335,469,361,2
1160,1014,318,187,458,195,248,209,2
1774,2701,433,676,929,888,777,405,2
3407,2356,2114,922,1577,1696,279,388,2
1008,1887,2318,186,373,587,375,196,2
400,915,342,288,200,687,438,380,2
2491,896,987,468,516,796,378,197,2
1027,1517,1259,623,847,489,309,334,2
2276,417,325,263,269,206,398,104,2
576,362,373,291,196,367,223,281,2
1934,642,125,236,211,290,339,132,2
1886,2593,505,1156,1403,668,513,444,2
1061,1045,1923,344,1029,415,271,375,2
559,958,462,1247,2570,1126,997,822,2
3329,1924,533,423,504,275,327,172,2
619,1416,523,1051,1613,724,490,231,2
983,513,476,438,451,345,294,345,2
2192,1969,556,537,511,325,321,221,2
823,244,318,483,525,728,315,120,2
1391,608,882,514,575,624,431,231,2
3472,2227,537,842,623,385,211,278,2
1294,1015,327,392,274,128,257,187,2
878,1437,291,245,301,435,190,231,2
2483,911,659,206,463,330,184,294,2
646,373,626,80,121,529,323,95,2
362,837,300,259,421,190,226,127,2
236,503,276,479,176,385,150,354,2
1859,819,351,556,488,575,263,339,2
2046,911,173,225,205,298,222,76,2
83,909,359,724,240,339,225,228,2
223,381,267,535,249,577,385,354,2
1048,645,477,429,212,316,227,284,2
284,467,300,220,223,270,98,147,2
310,277,369,169,408,516,304,188,2
377,513,266,537,394,240,321,165,2
224,291,642,100,196,345,154,225,2
211,144,614,251,328,410,290,126,2
282,135,672,337,90,167,172,195,2
994,1724,403,233,235,166,194,253,2
2214,1990,1393,2570,1757,644,419,269,2
540,2456,281,361,71,249,165,273,2
2034,1004,276,233,487,112,99,216,2
1710,2571,1804,874,1994,1573,890,264,2
1867,712,415,1369,614,1149,360,241,2
1110,1717,232,442,325,457,114,175,2
574,482,373,510,463,330,243,334,2
1719,1339,1397,657,588,772,441,359,2
3006,1657,1480,2341,1080,794,406,330,2
1278,1332,725,220,251,380,258,284,2
2502,1355,2706,1651,434,1221,718,981,2
1282,1979,452,162,166,405,403,250,2
5218,1413,2479,1845,293,804,592,329,2
652,2404,2398,555,727,432,724,243,2
2899,1522,1196,544,969,734,613,698,2
1957,1026,78,299,354,408,263,255,2
648,377,247,343,424,575,661,719,2
476,334,304,191,596,1024,237,529,2
1250,2403,775,1130,555,553,406,112,2
1088,1504,570,356,696,522,283,165,2
2380,1004,281,342,535,303,410,222,2
3638,775,916,1835,859,903,1004,301,2
3622,1657,475,377,486,247,112,339,2
1474,512,666,916,287,417,256,227,2
1405,684,611,502,310,417,229,336,2
596,624,112,417,262,158,46,93,2
330,257,803,442,412,395,369,153,2
1906,1897,1552,659,397,562,314,272,2
1420,584,809,437,239,267,336,470,2
2002,1778,434,806,649,578,894,243,2
354,1439,932,393,601,370,326,462,2
893,462,398,322,191,297,262,158,2
1164,294,234,419,295,337,379,365,2
